Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
UX Design: 1 Overview,"Following a user-centered design technique puts you more in touch with your users' true needs, which helps you develop solutions that really work for your intended audience. The approaches described in this course help development teams pool their diverse perspectives and collaborate to understand how to turn thoughts, feelings, frustrations, and desires of users into the design for a product.<br><br>

Join Chris Nodder as he provides a road map to his series, <em>UX Design Techniques</em>. Each technique in this series builds on the data and output from the previous techniques. The user data from observations is used to identify user pain points and create personas. The pain points and personas are used during the ideation phase to create multiple possible solutions. Scenarios and storyboards take these multiple possible solutions and narrow them down to a working set, from which you build a paper prototype that you can usability test with some more representative users. At any point, you can follow the trail all the way back to data you gathered from your initial observations.",Course,2018-09-16 14:44 UTC,N/A,false,N/A,
First Look: PHP 7.4,"As the needs of today's web developers continue to evolve, so must PHP. This course captures the improvements and new features introduced in version 7.4 of the popular scripting language. Joe Casabona—a PHP user for 15+ years—distills all of the most notable enhancements, from typed properties to preloading. Tune in to quickly get up to speed with all that this release has to offer.",Course,2022-08-05 08:11 UTC,N/A,false,N/A,
Developing for Web Performance,"<div><a href=""https://www.linkedin.com/newsletters/6780173704283475968?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Morten's LinkedIn Newsletter</a></div><br>Performance matters! Faster websites have been shown to increase visitor retention, loyalty, and satisfaction, especially on mobile. In this course, discover how to develop websites and applications with performance in mind. Since the cause of most slowdowns is the communication between the browser and the server—the realm of HTTP—senior staff instructor Morten Rand-Hendriksen goes over the HTTP/2 protocol, which offers web developers huge performance enhancements. Morten then covers how to keep your team focused on performance by creating a realistic performance budget. He explains how to optimize images (one of the biggest resource hogs), code, and file caching, as well as server delivery and browser handling. Plus, learn how to optimize CSS and JavaScript and use a content delivery network to speed up download times. Upon wrapping up this course, you'll have the basic knowledge you need to develop websites and apps that thrive in the age of the lightning-fast web.",Course,2022-08-14 11:53 UTC,N/A,false,N/A,
Logo Design: Techniques (2016),"Logos are a critical part of the modern visual landscape. To learn how to create your own, it's important to be able to identify the components and design techniques behind the most successful examples, from the Nike swoosh to the Coca-Cola ribbon. In this course, Nigel French deconstructs popular logos in order to explain why and how each logo works, and offers a methodical approach to creating a logo in Illustrator. This course combines theory with nuts-and-bolts techniques that emphasize simplicity and readability: the principles that ground the best logo designs.",Course,2018-10-10 19:38 UTC,N/A,false,N/A,
Workflow Tools for Web Developers (2016),"Web developers don't have to do everything by hand. There are many tools and frameworks that can make your workflow more productive and efficient—helping you code faster and cleaner than before. Christina Truong introduces browser tools for analyzing and testing your code; text editors that help you write it; and shortcuts and tools for automating repetitive web dev tasks. Plus, learn how version control systems like Git actually help save you time, in addition to saving you from mistakes. Get an overview of the pros and cons of each tool as well as examples, tips, and guidance for evaluating which ones will work best for you.",Course,2018-08-16 01:43 UTC,N/A,false,N/A,
Web Development Foundations: Full-Stack vs Front-End,"Do you want to become a web developer? Nowadays, web development isn't one job. There is a range of technologies and career options to explore. The core responsibilities are split two ways—between front-end developers who specialize in websites and applications and back-end developers who work with servers and databases—but you can also become a full-stack developer who oversees all aspects of a project. This course provides an overview of the different jobs available in web development, the tools and frameworks to focus on, and the skills each job entails. Senior staff author Ray Villalobos also provides tips on finding training, getting hired, and maximizing your earning potential in this lucrative and exciting field.",Course,2018-09-29 13:05 UTC,N/A,false,N/A,
Mapping the Modern Web Design Process,"<div><a href=""https://www.linkedin.com/newsletters/6780173704283475968?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Morten's LinkedIn Newsletter</a></div><br>Once you eliminate the trends and terminology, web design is about one thing and one thing only: getting your message across to an online audience. This course offers a 10,000-foot view of the web design process, to help ensure you never lose sight of your users. Morten Rand-Hendriksen takes you on a journey from initial consultation and discovery through content strategy and UX considerations, to development, content creation, design, testing, and launch. By the end, you'll understand the different players and phases and how they fit together in a web design approach focused on meaningful communication and a great user experience.",Course,2018-09-16 14:48 UTC,N/A,false,N/A,
JavaScript: Enhancing the DOM,"The Document Object Model (DOM) is at the core of every HTML page. In order to develop dynamic HTML pages, a front-end developer needs to understand how JavaScript connects to and controls the DOM, allowing you to create, modify, delete, and edit existing page content. This course focuses on helping you understand the DOM elements, and shows the different ways JavaScript gives you access to them and makes it easier to work with the DOM. Author Ray Villalobos covers navigating the DOM, selecting elements, modifying HTML attributes, editing nodes, and much more.",Course,2018-08-14 11:41 UTC,N/A,false,N/A,
Creating a High Performance Culture,"<div><a href=""https://www.linkedin.com/newsletters/the-thoughtleaders-brief-6922396815786999808/?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Mike's LinkedIn Newsletter</a></div><br>If you're a leader, you're responsible for establishing the culture in your organization. In order to remain competitive, you need to build a culture of high performance. In this course, executive coach and consultant Mike Figliuolo reveals how to define your organization's culture, set direction, manage organizational performance, and ensure the right platforms and processes are in place to reinforce the culture. Throughout the course, Mike brings this topic to life by sharing actionable tips and real-world examples.",Course,2022-03-31 09:21 UTC,N/A,false,N/A,
Learning Salesforce for Admins (2018),"Become a Salesforce admin. Learn how to streamline the user experience and administration of Salesforce. In this course, Christopher Matthew Spencer explores how to configure and administer Salesforce so that the functions of this CRM (customer relationship management) tool align to the needs and goals of your business. Learn how to customize sales paths and opportunity stages, set up custom fields, and create custom reports for your teams. Christopher also shows how to secure your data, and configure user accounts with different levels of access. Use these tips to work smarter, and provide more value for your Salesforce users.",Course,2022-07-23 13:00 UTC,N/A,true,N/A,
